date/time	script	user	action	table	field	key value	old value	new value
2018/12/26 04:09:49	/depo/logout.php	02-admin	logout	::1				
2018/12/26 04:30:40	/depo/login.php	02-admin	login	::1				
2018/12/26 04:31:22	/depo/logout.php	02-admin	logout	::1				
2018/12/26 04:34:51	/depo/login.php	02-admin	login	::1				
2018/12/26 04:34:57	/depo/logout.php	02-admin	logout	::1				
2018/12/26 04:35:06	/depo/login.php	01-admin	login	::1				
2018/12/26 04:35:38	/depo/logout.php	01-admin	logout	::1				
2018/12/26 04:35:43	/depo/login.php	01-admin	login	::1				
2018/12/26 04:38:04	/depo/logout.php	01-admin	logout	::1				
2018/12/26 04:38:08	/depo/login.php	02-admin	login	::1				
2018/12/26 04:38:28	/depo/logout.php	02-admin	logout	::1				
2018/12/26 04:38:32	/depo/login.php	02-admin	login	::1				
2018/12/26 04:38:49	/depo/logout.php	02-admin	logout	::1				
2018/12/26 04:38:59	/depo/login.php	02-admin	login	::1				
2018/12/26 04:40:38	/depo/logout.php	02-admin	logout	::1				
2018/12/26 04:40:42	/depo/login.php	02-admin	login	::1				
2018/12/26 04:40:46	/depo/logout.php	02-admin	logout	::1				
2018/12/26 04:40:49	/depo/login.php	02-admin	login	::1				
2018/12/26 04:42:28	/depo/logout.php	02-admin	logout	::1				
2018/12/26 04:42:37	/depo/login.php	02-admin	login	::1				
2018/12/26 04:46:33	/depo/logout.php	02-admin	logout	::1				
2018/12/26 04:46:35	/depo/login.php	02-admin	login	::1				
2018/12/26 04:46:43	/depo/logout.php	02-admin	logout	::1				
2018/12/26 04:46:47	/depo/login.php	02-admin	login	::1				
2018/12/26 04:48:10	/depo/logout.php	02-admin	logout	::1				
2018/12/26 04:48:12	/depo/login.php	02-admin	login	::1				
2018/12/26 04:48:21	/depo/logout.php	02-admin	logout	::1				
2018/12/26 04:49:05	/depo/login.php	02-admin	login	::1				
2018/12/26 04:51:08	/depo/logout.php	02-admin	logout	::1				
2018/12/26 04:51:10	/depo/login.php	02-admin	login	::1				
2018/12/26 04:56:07	/depo/logout.php	02-admin	logout	::1				
2018/12/26 04:56:09	/depo/login.php	02-admin	login	::1				
2018/12/26 06:46:50	/depo/logout.php	02-admin	logout	::1				
2018/12/26 06:46:57	/depo/login.php	02-admin	login	::1				
2018/12/26 06:47:06	/depo/logout.php	02-admin	logout	::1				
2018/12/26 06:47:10	/depo/login.php	02-admin	login	::1				
2018/12/26 06:47:15	/depo/logout.php	02-admin	logout	::1				
2018/12/26 06:47:18	/depo/login.php	02-admin	login	::1				
2018/12/26 06:50:36	/depo/logout.php	02-admin	logout	::1				
2018/12/26 06:50:48	/depo/login.php	02-admin	login	::1				
2018/12/26 06:51:00	/depo/logout.php	02-admin	logout	::1				
2018/12/26 06:51:05	/depo/login.php	01-admin	login	::1				
2018/12/26 06:51:14	/depo/logout.php	01-admin	logout	::1				
2018/12/26 06:51:23	/depo/login.php	03-admin	login	::1				
2018/12/26 06:51:30	/depo/logout.php	03-admin	logout	::1				
2018/12/26 06:52:11	/depo/login.php	02-admin	login	::1				
2018/12/26 09:07:59	/depo/logout.php	02-admin	logout	::1				
2018/12/26 09:08:08	/depo/login.php	02-admin	login	::1				
2018/12/26 09:08:13	/depo/logout.php	02-admin	logout	::1				
2018/12/26 09:08:17	/depo/login.php	01-admin	login	::1				
2018/12/26 09:08:22	/depo/logout.php	01-admin	logout	::1				
2018/12/26 09:08:25	/depo/login.php	03-admin	login	::1				
2018/12/26 09:08:30	/depo/logout.php	03-admin	logout	::1				
2018/12/26 09:08:35	/depo/login.php	02-admin	login	::1				
